iter	PairLogit
0	0.6822802789
1	0.6727245586
2	0.6643478976
3	0.6569571271
4	0.6504859983
5	0.6447759753
6	0.6398011091
7	0.6353914358
8	0.6314904471
9	0.6275894026
10	0.6241870452
11	0.6214958213
12	0.6193894454
13	0.6171917603
14	0.6152498364
15	0.6137443694
16	0.6121405583
17	0.6107419655
18	0.6094861667
19	0.6084929081
20	0.6074337705
21	0.6064828948
22	0.605649158
23	0.6049684407
24	0.6044141362
25	0.603940695
26	0.6027610187
27	0.6023406104
28	0.6016268089
29	0.6011805482
30	0.6008343741
31	0.6005010025
32	0.5995756102
33	0.5991617965
34	0.5986229289
35	0.5983038134
36	0.5977797477
37	0.5975001614
38	0.596813229
39	0.5965484285
40	0.5961381055
41	0.5958721446
42	0.5955078242
43	0.5951593953
44	0.5949350787
45	0.5947236173
46	0.5944041588
47	0.5942398369
48	0.593931953
49	0.5937473032
50	0.5933492411
51	0.5931797653
52	0.5928250584
53	0.592588928
54	0.5924087226
55	0.592222179
56	0.5920881277
57	0.5919552604
58	0.5917906185
59	0.5916433125
60	0.5913925707
61	0.5912746011
62	0.5910448844
63	0.5909304356
64	0.5906459422
65	0.5905069535
66	0.5904032737
67	0.5902001928
68	0.5900669491
69	0.5899757653
70	0.5897729204
71	0.5896983004
72	0.5895196307
73	0.5892694102
74	0.5891507936
75	0.5889160462
76	0.5887560151
77	0.5886573518
78	0.5885087477
79	0.5884000537
80	0.5883105967
81	0.5882274922
82	0.588033164
83	0.587948235
84	0.5877544461
85	0.5876284198
86	0.5875287044
87	0.5873602555
88	0.587282857
89	0.5871326292
90	0.5870257473
91	0.5868306962
92	0.5866897743
93	0.5865939969
94	0.5864553006
95	0.5862979512
96	0.5862066316
97	0.5861213216
98	0.5860505721
99	0.5859240313
100	0.5858481888
101	0.5857054793
102	0.5855919174
103	0.5852556676
104	0.5852035754
105	0.584902362
106	0.5848539094
107	0.5847515135
108	0.5846298681
109	0.5845651497
110	0.5844144935
111	0.5841482176
112	0.5840330676
113	0.5839379568
114	0.5837004782
115	0.5836403417
116	0.5835566288
117	0.5835159087
118	0.5834092308
119	0.5833032124
120	0.5832529035
121	0.5831980427
122	0.582988582
123	0.5828937095
124	0.5828584932
125	0.582761772
126	0.5826827357
127	0.5826318775
128	0.5825326061
129	0.5824460629
130	0.5823678754
131	0.5822900626
132	0.5821981217
133	0.5821216066
134	0.5820907301
135	0.5820261615
136	0.5819146123
137	0.5818125826
138	0.5817330464
139	0.5816882116
140	0.5816009906
141	0.5815219768
142	0.5814450139
143	0.5812706219
144	0.581170703
145	0.5811050993
146	0.5810558155
147	0.5809564489
148	0.5808932139
149	0.580838261
150	0.5807830931
151	0.5807567608
152	0.5806998434
153	0.580636632
154	0.5805483783
155	0.5805246824
156	0.5804326289
157	0.5803819997
158	0.580327325
159	0.5803055678
160	0.5802745221
161	0.5802255015
162	0.5801560603
163	0.580117234
164	0.5800330298
165	0.5799917438
166	0.5799509452
167	0.5799130752
168	0.5798521766
169	0.5797955212
170	0.5797169113
171	0.5795953795
172	0.5795692799
173	0.579494781
174	0.5794513709
175	0.5794041331
176	0.5793791839
177	0.5793504741
178	0.5792978205
179	0.5792522226
180	0.5791823203
181	0.5790724654
182	0.5790071172
183	0.5789896204
184	0.5789423592
185	0.5789034013
186	0.5788529502
187	0.5787944363
188	0.578759838
189	0.5787098126
190	0.5786844922
191	0.5786402066
192	0.5785942561
193	0.5785416624
194	0.5784793448
195	0.5784478052
196	0.578419089
197	0.5783709019
198	0.5783135518
199	0.5782662751
200	0.5782324911
201	0.5781339634
202	0.5780975616
203	0.5780508057
204	0.578007845
205	0.5779764959
206	0.5779050837
207	0.5778688383
208	0.577828136
209	0.5777989162
210	0.5777576327
211	0.5777028335
212	0.57766778
213	0.5776153893
214	0.5775779968
215	0.5775434571
216	0.5775026506
217	0.5774419016
218	0.5773886702
219	0.5773397707
220	0.5773069765
221	0.5772749476
222	0.5772362288
223	0.577197758
224	0.5771633072
225	0.577143021
226	0.5771120885
227	0.5770868014
228	0.5770554578
229	0.5770207601
230	0.5770015098
231	0.576972355
232	0.5769133155
233	0.5768756855
234	0.5768481511
235	0.5768141255
236	0.5767891769
237	0.5767665079
238	0.5767212297
239	0.5766957083
240	0.5766599197
241	0.5766373223
242	0.5766059052
243	0.576567553
244	0.576544215
245	0.5764584787
246	0.5764176107
247	0.576380098
248	0.5763605911
249	0.5763169802
250	0.5762786776
251	0.5762285146
252	0.5762054934
253	0.5761720405
254	0.5761419665
