iter	Passed	Remaining
0	8789	2628072
1	17997	2681570
2	27597	2732180
3	37133	2747903
4	47216	2785787
5	57217	2803656
6	66742	2793633
7	75849	2768515
8	84983	2747805
9	95525	2770236
10	105548	2773046
11	115554	2773313
12	125272	2765627
13	134349	2744572
14	143765	2731547
15	153330	2721610
16	161966	2696265
17	171872	2692662
18	181670	2686814
19	192470	2694593
20	202667	2692587
21	212087	2680017
22	221337	2665673
23	231000	2656504
24	240758	2648341
25	250344	2638248
26	260383	2632761
27	270142	2624245
28	280372	2620030
29	290041	2610375
30	299516	2599030
31	309021	2588054
32	318695	2578534
33	328643	2571150
34	338250	2561038
35	347428	2547808
36	356764	2535920
37	366719	2528432
38	376160	2517378
39	385415	2505203
40	394387	2491375
41	404154	2482665
42	413209	2469650
43	422434	2457802
44	431774	2446722
45	440922	2434659
46	451339	2429553
47	461821	2424565
48	472768	2421731
49	484329	2421645
50	495130	2417401
51	506433	2415297
52	516329	2406289
53	527230	2401826
54	538072	2396867
55	548898	2391629
56	559041	2383281
57	571964	2386471
58	584057	2385728
59	596678	2386714
60	610111	2390437
61	624519	2397348
62	639297	2404974
63	653196	2408661
64	666322	2409012
65	677835	2403234
66	686860	2388633
67	695533	2372997
68	704116	2357260
69	712707	2341752
70	722897	2331598
71	733221	2321868
72	745509	2318229
73	757683	2314005
74	774296	2322888
75	791459	2332721
76	805953	2334125
77	820809	2336149
78	836645	2340490
79	850370	2338519
80	864031	2336083
81	876933	2331359
82	890337	2327749
83	903618	2323590
84	916609	2318483
85	929849	2313811
86	943301	2309463
87	955858	2302748
88	967982	2294880
89	980324	2287424
90	992717	2279977
91	1004239	2270453
92	1016628	2262817
93	1027083	2250842
94	1034924	2233258
95	1042750	2215844
96	1051145	2199820
97	1059118	2183081
98	1067032	2166400
99	1075035	2150071
100	1083053	2133937
101	1092032	2119827
102	1101023	2105840
103	1110070	2092056
104	1118864	2077890
105	1127246	2063073
106	1134900	2047062
107	1143260	2032463
108	1151805	2018302
109	1161503	2006232
110	1170662	1993290
111	1180130	1980934
112	1189149	1967884
113	1198150	1954876
114	1207087	1941836
115	1216688	1929920
116	1225904	1917440
117	1234744	1904436
118	1244106	1892297
119	1253033	1879549
120	1261367	1865989
121	1270108	1853108
122	1278594	1839928
123	1287147	1826919
124	1294756	1812659
125	1303243	1799717
126	1311466	1786486
127	1320130	1773925
128	1329092	1761819
129	1337470	1748999
130	1345677	1736026
131	1354069	1723361
132	1362763	1711138
133	1371241	1698702
134	1379014	1685461
135	1387488	1673147
136	1396694	1661760
137	1405115	1649483
138	1413698	1637449
139	1422600	1625828
140	1431734	1614509
141	1440976	1603340
142	1450384	1592380
143	1461298	1583073
144	1473046	1574635
145	1485811	1567226
146	1501256	1562532
147	1513455	1554360
148	1527429	1547932
149	1543391	1543391
150	1555991	1535382
151	1569763	1528454
152	1583728	1521621
153	1597625	1514631
154	1609278	1505453
155	1621776	1497024
156	1634341	1488603
157	1644819	1478255
158	1655089	1467720
159	1663513	1455574
160	1672743	1444169
161	1681789	1432635
162	1694582	1424281
163	1705710	1414491
164	1715785	1403824
165	1725496	1392870
166	1735432	1382110
167	1745399	1371385
168	1755167	1360514
169	1764898	1349627
170	1774065	1338330
171	1783775	1327460
172	1792767	1316078
173	1802296	1305111
174	1811919	1294228
175	1821333	1283212
176	1831029	1272410
177	1840043	1261153
178	1849312	1250094
179	1858098	1238732
180	1866725	1227294
181	1876125	1216389
182	1885373	1205402
183	1893910	1193986
184	1903086	1182999
185	1912352	1172086
186	1921484	1161110
187	1931218	1150513
188	1940775	1139820
189	1951196	1129640
190	1961770	1119544
191	1971783	1109128
192	1981433	1098514
193	1993177	1089055
194	2005355	1079806
195	2017943	1070745
196	2033792	1063353
197	2048236	1055152
198	2063246	1047175
199	2078328	1039164
200	2091966	1030371
201	2104090	1020796
202	2113081	1009698
203	2122178	998672
204	2131157	987609
205	2140232	976610
206	2152032	966855
207	2163016	956719
208	2177064	947908
209	2190329	938712
210	2205091	930109
211	2219283	921211
212	2232664	911933
213	2246652	902860
214	2259736	893384
215	2273073	883973
216	2283405	873376
217	2292253	862223
218	2301194	851126
219	2309884	839958
220	2318791	828889
221	2327732	817851
222	2336790	806873
223	2346319	796072
224	2355669	785223
225	2365721	774616
226	2378704	764957
227	2390981	755046
228	2405503	745811
229	2418281	735998
230	2429774	725776
231	2440871	715427
232	2451965	705071
233	2466179	695589
234	2477940	685387
235	2491653	675702
236	2505957	666140
237	2517018	655694
238	2529955	645720
239	2542669	635667
240	2554082	625273
241	2564348	614595
242	2574994	604011
243	2585175	593319
244	2596036	582783
245	2606976	572263
246	2617480	561645
247	2627458	550918
248	2637281	540166
249	2647791	529558
250	2658108	518913
251	2668416	508269
252	2678349	497559
253	2688601	486912
254	2700147	476496
